"","Lastname_Player","FirstInitial","RK","Team","Pos","R","H","HR","RBI","AVG","OBP","SLG","OPS","Players","Age","Salary","Salary_Classification","Salary_Classification2","Firstname_Player","AVG_Classification","AVG_Classification2"
"1","Abreu","J",45,"CWS","1B",85,180,33,123,0.284,0.33,0.503,0.834,"Jose Abreu","32",16015000,"High Salary",1,"Jose",1,"High Average"
"2","AcunaJr.","R",54,"ATL","LF",127,175,41,101,0.28,0.365,0.518,0.883,"Ronald Acuna","21",1e+06,"Low Salary",0,"Ronald",1,"High Average"
"3","Adames","W",102,"TB","SS",69,135,20,52,0.254,0.317,0.418,0.735,"Willy Adames","23",562400,"Low Salary",0,"Willy",0,"Low Average"
"4","Ahmed","N",104,"ARI","SS",79,141,19,82,0.254,0.316,0.437,0.753,"Nick Ahmed","29",3662500,"High Salary",1,"Nick",0,"Low Average"
"5","Alberto","H",16,"BAL","2B",62,160,12,51,0.305,0.329,0.422,0.751,"Hanser Alberto","30",578000,"Low Salary",0,"Hanser",1,"High Average"
"6","Albies","O",24,"ATL","2B",102,189,24,86,0.295,0.352,0.5,0.852,"Ozzie Albies","22",1e+06,"Low Salary",0,"Ozzie",1,"High Average"
"7","Alonso","P",91,"NYM","1B",103,155,53,120,0.26,0.358,0.583,0.941,"Pete Alonso","24",555000,"Low Salary",0,"Pete",0,"Low Average"
"8","Altuve","J",20,"HOU","2B",89,149,31,74,0.298,0.353,0.55,0.903,"Jose Altuve","29",9500000,"High Salary",1,"Jose",1,"High Average"
"9","Anderson","B",85,"MIA","3B",57,120,20,66,0.261,0.342,0.468,0.811,NA,NA,0,"Low Salary",NA,NA,0,"Low Average"
"10","Anderson","T",1,"CWS","SS",81,167,18,56,0.335,0.357,0.508,0.865,"Tim Anderson","26",1400000,"Low Salary",0,"Tim",1,"High Average"
"11","Andrus","E",68,"TEX","SS",81,165,12,72,0.275,0.313,0.393,0.707,"Elvis Andrus","30",15250000,"High Salary",1,"Elvis",1,"High Average"
"12","Arcia","O",131,"MIL","SS",51,110,15,59,0.223,0.283,0.35,0.633,"Orlando Arcia","24",565700,"Low Salary",0,"Orlando",0,"Low Average"
"13","Arenado","N",8,"COL","3B",102,185,41,118,0.315,0.379,0.583,0.962,"Nolan Arenado","28",26050000,"High Salary",1,"Nolan",1,"High Average"
"14","Baez","J",53,"CHC","SS",89,149,29,85,0.281,0.316,0.531,0.847,"Javier Baez","26",5200000,"High Salary",1,"Javier",1,"High Average"
"15","Bell","J",62,"PIT","1B",94,146,37,116,0.277,0.367,0.569,0.936,"Josh Bell","26",587000,"Low Salary",0,"Josh",1,"High Average"
"16","Bellinger","C",17,"LAD","RF",121,170,47,115,0.305,0.406,0.629,1.035,"Cody Bellinger","23",605000,"Low Salary",0,"Cody",1,"High Average"
"17","Belt","B",123,"SF","1B",76,123,17,57,0.234,0.339,0.403,0.742,"Brandon Belt","31",17200000,"High Salary",1,"Brandon",0,"Low Average"
"18","Benintendi","A",80,"BOS","LF",72,144,13,68,0.266,0.343,0.431,0.774,"Andrew Benintendi","24",717500,"Low Salary",0,"Andrew",0,"Low Average"
"19","Betts","M",26,"BOS","RF",135,176,29,80,0.295,0.391,0.524,0.915,"Mookie Betts","26",20100000,"High Salary",1,"Mookie",1,"High Average"
"20","Blackmon","C",9,"COL","RF",112,182,32,86,0.314,0.364,0.576,0.94,"Charlie Blackmon","32",21333333,"High Salary",1,"Charlie",1,"High Average"
"21","Bogaerts","X",14,"BOS","SS",110,190,33,117,0.309,0.384,0.555,0.939,"Xander Bogaerts","26",1.2e+07,"High Salary",1,"Xander",1,"High Average"
"22","BradleyJr.","J",130,"BOS","CF",69,111,21,62,0.225,0.317,0.421,0.738,"Jackie Bradley Jr.","29",8550000,"High Salary",1,"Jackie",0,"Low Average"
"23","Brantley","M",11,"HOU","LF",88,179,22,90,0.311,0.372,0.503,0.875,"Michael Brantley","32",1.6e+07,"High Salary",1,"Michael",1,"High Average"
"24","Braun","R",41,"MIL","LF",70,131,22,75,0.285,0.343,0.505,0.849,"Ryan Braun","35",1.9e+07,"High Salary",1,"Ryan",1,"High Average"
"25","Bregman","A",23,"HOU","3B",122,164,41,112,0.296,0.423,0.592,1.015,"Alex Bregman","25",2307166,"Low Salary",0,"Alex",1,"High Average"
"26","Bryant","K",51,"CHC","3B",108,153,31,77,0.282,0.382,0.521,0.903,"Kris Bryant","27",12900000,"High Salary",1,"Kris",1,"High Average"
"27","Cabrera","A",93,"WSH","3B",69,116,18,91,0.26,0.342,0.441,0.783,"Asdrubal Cabrera","33",555000,"Low Salary",0,"Asdrubal",0,"Low Average"
"28","Cabrera","M",50,"DET","1B",41,139,12,59,0.282,0.346,0.398,0.744,"Melky Cabrera","34",1150000,"Low Salary",0,"Melky",1,"High Average"
"29","Cabrera","M",50,"DET","1B",41,139,12,59,0.282,0.346,0.398,0.744,"Miguel Cabrera","36",3e+07,"High Salary",1,"Miguel",1,"High Average"
"30","Cain","L",90,"MIL","CF",75,146,11,48,0.26,0.325,0.372,0.697,"Lorenzo Cain","33",15025000,"High Salary",1,"Lorenzo",0,"Low Average"
"31","Calhoun","K",126,"LAA","RF",92,128,33,74,0.232,0.325,0.467,0.792,"Kole Calhoun","31",10500000,"High Salary",1,"Kole",0,"Low Average"
"32","Castellanos","N",37,"CHC","RF",100,178,27,73,0.289,0.337,0.525,0.863,"Nick Castellanos","27",9950000,"High Salary",1,"Nick",1,"High Average"
"33","Castro","S",74,"MIA","2B",68,172,22,86,0.27,0.3,0.436,0.736,"Starlin Castro","29",11857142,"High Salary",1,"Starlin",0,"Low Average"
"34","Chapman","M",116,"OAK","3B",102,145,36,91,0.249,0.342,0.506,0.848,"Matt Chapman","26",580000,"Low Salary",0,"Matt",0,"Low Average"
"35","Choo","S",83,"TEX","LF",93,149,24,61,0.265,0.371,0.455,0.826,"Shin-Soo Choo","36",2.1e+07,"High Salary",1,"Shin-Soo",0,"Low Average"
"36","Conforto","M",97,"NYM","RF",90,141,33,92,0.257,0.363,0.494,0.856,"Michael Conforto","26",4025000,"High Salary",1,"Michael",0,"Low Average"
"37","Crawford","B",127,"SF","SS",58,114,11,59,0.228,0.304,0.35,0.654,"Brandon Crawford","32",15200000,"High Salary",1,"Brandon",0,"Low Average"
"38","Cruz","N",13,"MIN","DH",81,141,41,108,0.311,0.392,0.639,1.031,"Nelson Cruz","38",1.4e+07,"High Salary",1,"Nelson",1,"High Average"
"39","Davis","K",132,"OAK","LF",61,106,23,73,0.22,0.293,0.387,0.679,"Khris Davis","31",16500000,"High Salary",1,"Khris",0,"Low Average"
"40","DeJong","P",124,"STL","SS",97,136,30,78,0.233,0.318,0.444,0.762,"Paul DeJong","25",1666666,"Low Salary",0,"Paul",0,"Low Average"
"41","Devers","R",12,"BOS","3B",129,201,32,115,0.311,0.361,0.555,0.916,"Rafael Devers","22",614500,"Low Salary",0,"Rafael",1,"High Average"
"42","Donaldson","J",95,"ATL","3B",96,142,37,94,0.259,0.379,0.521,0.9,"Josh Donaldson","33",2.3e+07,"High Salary",1,"Josh",0,"Low Average"
"43","Dozier","H",57,"KC","3B",75,146,26,84,0.279,0.348,0.522,0.87,"Hunter Dozier","27",567225,"Low Salary",0,"Hunter",1,"High Average"
"44","Eaton","A",58,"WSH","RF",103,158,15,49,0.279,0.365,0.428,0.792,"Adam Eaton","30",8400000,"High Salary",1,"Adam",1,"High Average"
"45","Escobar","E",75,"ARI","3B",94,171,35,118,0.269,0.32,0.511,0.831,"Eduardo Escobar","30",6166666,"High Salary",1,"Eduardo",0,"Low Average"
"46","Fletcher","D",35,"LAA","3B",83,173,6,49,0.29,0.35,0.384,0.734,"David Fletcher","25",561500,"Low Salary",0,"David",1,"High Average"
"47","Fowler","D",122,"STL","RF",69,116,19,67,0.238,0.346,0.409,0.754,"Dexter Fowler","33",16500000,"High Salary",1,"Dexter",0,"Low Average"
"48","Frazier","A",61,"PIT","2B",80,154,10,50,0.278,0.336,0.417,0.753,"Adam Frazier","27",584000,"Low Salary",0,"Adam",1,"High Average"
"49","Freeman","F",26,"ATL","1B",113,176,38,121,0.295,0.389,0.549,0.938,"Freddie Freeman","29",21409375,"High Salary",1,"Freddie",1,"High Average"
"50","Galvis","F",87,"CIN","SS",67,145,23,70,0.26,0.296,0.438,0.734,"Freddy Galvis","29",4e+06,"High Salary",1,"Freddy",0,"Low Average"
"51","Garcia","A",49,"TB","RF",61,138,20,72,0.282,0.332,0.464,0.796,"Aramis Garcia","26",555000,"Low Salary",0,"Aramis",1,"High Average"
"52","Garcia","A",49,"TB","RF",61,138,20,72,0.282,0.332,0.464,0.796,"Adolis Garcia","26",555000,"Low Salary",0,"Adolis",1,"High Average"
"53","Garcia","A",49,"TB","RF",61,138,20,72,0.282,0.332,0.464,0.796,"Avisail Garcia","28",4500000,"High Salary",1,"Avisail",1,"High Average"
"54","Garcia","L",59,"CWS","CF",93,161,8,40,0.279,0.31,0.378,0.688,"Leury Garcia","28",1550000,"Low Salary",0,"Leury",1,"High Average"
"55","Gardner","B",111,"NYY","CF",86,123,28,74,0.251,0.325,0.503,0.829,"Brett Gardner","35",7500000,"High Salary",1,"Brett",0,"Low Average"
"56","Goldschmidt","P",91,"STL","1B",97,155,34,97,0.26,0.346,0.476,0.821,"Paul Goldschmidt","31",15500000,"High Salary",1,"Paul",0,"Low Average"
"57","Gordon","A",79,"KC","LF",77,148,13,76,0.266,0.345,0.396,0.741,"Alex Gordon","35",2e+07,"High Salary",1,"Alex",0,"Low Average"
"58","Grandal","Y",117,"MIL","C",79,126,28,77,0.246,0.38,0.468,0.848,"Yasmani Grandal","30",1.6e+07,"High Salary",1,"Yasmani",0,"Low Average"
"59","Grichuk","R",125,"TOR","CF",75,136,31,80,0.232,0.28,0.457,0.738,"Randal Grichuk","27",8e+06,"High Salary",1,"Randal",0,"Low Average"
"60","GuerreroJr.","V",72,"TOR","3B",52,126,15,69,0.272,0.339,0.433,0.772,"Vladimir Guerrero","20",555000,"Low Salary",0,"Vladimir",0,"Low Average"
"61","Gurriel","Y",21,"HOU","1B",85,168,31,104,0.298,0.343,0.541,0.884,"Yulieski Gurriel","35",10400000,"High Salary",1,"Yulieski",1,"High Average"
"62","Harper","B",88,"PHI","RF",98,149,35,114,0.26,0.372,0.51,0.882,"Bryce Harper","26",11538462,"High Salary",1,"Bryce",0,"Low Average"
"63","Hernandez","C",56,"PHI","2B",77,171,14,71,0.279,0.333,0.408,0.741,"Cesar Hernandez","29",7750000,"High Salary",1,"Cesar",1,"High Average"
"64","Heyward","J",108,"CHC","RF",78,129,21,62,0.251,0.343,0.429,0.772,"Jason Heyward","29",22500000,"High Salary",1,"Jason",0,"Low Average"
"65","Hoskins","R",129,"PHI","1B",86,129,29,85,0.226,0.364,0.454,0.819,"Rhys Hoskins","26",575000,"Low Salary",0,"Rhys",0,"Low Average"
"66","Hosmer","E",81,"SD","1B",72,164,22,99,0.265,0.31,0.425,0.735,"Eric Hosmer","29",2.1e+07,"High Salary",1,"Eric",0,"Low Average"
"67","Iglesias","J",38,"CIN","SS",62,145,11,59,0.288,0.318,0.407,0.724,"Jose Iglesias","29",2500000,"Low Salary",0,"Jose",1,"High Average"
"68","Jimenez","E",76,"CWS","LF",69,125,31,79,0.267,0.315,0.513,0.828,"Eloy Jimenez","22",1833333,"Low Salary",0,"Eloy",0,"Low Average"
"69","Jones","A",89,"ARI","RF",66,126,16,67,0.26,0.313,0.414,0.728,"Adam Jones","33",4500000,"High Salary",1,"Adam",0,"Low Average"
"70","Kepler","M",107,"MIN","RF",98,132,36,90,0.252,0.336,0.519,0.855,"Max Kepler","26",6e+06,"High Salary",1,"Max",0,"Low Average"
"71","Kipnis","J",118,"CLE","2B",52,112,17,65,0.245,0.304,0.41,0.715,"Jason Kipnis","32",14666668,"High Salary",1,"Jason",0,"Low Average"
"72","LeMahieu","D",4,"NYY","2B",109,197,26,102,0.327,0.375,0.518,0.893,"D.J. LeMahieu","30",1.2e+07,"High Salary",1,"D.J.",1,"High Average"
"73","Lindor","F",44,"CLE","SS",101,170,32,74,0.284,0.335,0.518,0.854,"Francisco Lindor","25",10550000,"High Salary",1,"Francisco",1,"High Average"
"74","Longoria","E",103,"SF","3B",59,115,20,69,0.254,0.325,0.437,0.762,"Evan Longoria","33",14500000,"High Salary",1,"Evan",0,"Low Average"
"75","Machado","M",98,"SD","SS",81,150,32,85,0.256,0.334,0.462,0.796,"Manny Machado","26",1.2e+07,"High Salary",1,"Manny",0,"Low Average"
"76","Mancini","T",33,"BAL","RF",106,175,35,97,0.291,0.364,0.535,0.899,"Trey Mancini","27",575500,"Low Salary",0,"Trey",1,"High Average"
"77","Marte","K",3,"ARI","CF",97,187,32,92,0.329,0.389,0.592,0.981,"Ketel Marte","25",2e+06,"Low Salary",0,"Ketel",1,"High Average"
"78","Marte","S",25,"PIT","CF",97,159,23,82,0.295,0.342,0.503,0.845,"Starling Marte","30",10333334,"High Salary",1,"Starling",1,"High Average"
"79","Martinez","J",18,"BOS","LF",98,175,36,105,0.304,0.383,0.557,0.939,"J.D. Martinez","31",23750000,"High Salary",1,"J.D.",1,"High Average"
"80","Martinez","J",18,"BOS","LF",98,175,36,105,0.304,0.383,0.557,0.939,"Jose Martinez","30",1125000,"Low Salary",0,"Jose",1,"High Average"
"81","McMahon","R",112,"COL","2B",70,120,24,83,0.25,0.329,0.45,0.779,"Ryan McMahon","24",560000,"Low Salary",0,"Ryan",0,"Low Average"
"82","McNeil","J",6,"NYM","LF",83,162,23,75,0.318,0.384,0.531,0.916,NA,NA,0,"Low Salary",NA,NA,1,"High Average"
"83","Meadows","A",34,"TB","RF",83,154,33,89,0.291,0.364,0.558,0.922,"Austin Meadows","24",557400,"Low Salary",0,"Austin",1,"High Average"
"84","Merrifield","W",19,"KC","2B",105,206,16,74,0.302,0.348,0.463,0.811,"Whit Merrifield","30",1e+06,"Low Salary",0,"Whit",1,"High Average"
"85","Moncada","Y",7,"CWS","3B",83,161,25,79,0.315,0.367,0.548,0.915,"Yoan Moncada","24",575000,"Low Salary",0,"Yoan",1,"High Average"
"86","Moran","C",63,"PIT","3B",46,129,13,80,0.277,0.322,0.429,0.751,"Colin Moran","26",579500,"Low Salary",0,"Colin",1,"High Average"
"87","Moustakas","M",101,"MIL","2B",80,133,35,87,0.254,0.329,0.516,0.845,"Mike Moustakas","30",7050000,"High Salary",1,"Mike",0,"Low Average"
"88","Muncy","M",110,"LAD","1B",101,122,35,98,0.251,0.374,0.515,0.889,"Max Muncy","28",575000,"Low Salary",0,"Max",0,"Low Average"
"89","Newman","K",15,"PIT","SS",61,152,12,64,0.308,0.353,0.446,0.8,"Kevin Newman","25",557500,"Low Salary",0,"Kevin",1,"High Average"
"90","Nunez","R",120,"BAL","3B",72,132,31,90,0.244,0.311,0.46,0.771,"Renato Nunez","25",562000,"Low Salary",0,"Renato",0,"Low Average"
"91","Odor","R",135,"TEX","2B",77,107,30,93,0.205,0.283,0.439,0.721,"Rougned Odor","25",7833333,"High Salary",1,"Rougned",0,"Low Average"
"92","Olson","M",77,"OAK","1B",73,129,36,91,0.267,0.351,0.545,0.896,"Matt Olson","25",575000,"Low Salary",0,"Matt",0,"Low Average"
"93","Ozuna","M",121,"STL","LF",80,117,29,89,0.241,0.328,0.472,0.8,NA,NA,0,"Low Salary",NA,NA,0,"Low Average"
"94","Pederson","J",115,"LAD","LF",83,112,36,74,0.249,0.339,0.538,0.876,"Joc Pederson","27",5e+06,"High Salary",1,"Joc",0,"Low Average"
"95","Pham","T",70,"TB","LF",77,155,21,68,0.273,0.369,0.45,0.818,"Tommy Pham","31",4100000,"High Salary",1,"Tommy",1,"High Average"
"96","Pillar","K",96,"SF","CF",83,158,21,88,0.259,0.287,0.432,0.719,"Kevin Pillar","30",5800000,"High Salary",1,"Kevin",0,"Low Average"
"97","Polanco","J",28,"MIN","SS",107,186,22,79,0.295,0.356,0.485,0.841,"Jorge Polanco","25",3583333,"Low Salary",0,"Jorge",1,"High Average"
"98","Profar","J",133,"OAK","2B",65,100,20,67,0.218,0.301,0.41,0.711,"Jurickson Profar","26",3600000,"Low Salary",0,"Jurickson",0,"Low Average"
"99","Puig","Y",78,"CLE","RF",76,148,24,84,0.267,0.327,0.458,0.785,"Yasiel Puig","28",9700000,"High Salary",1,"Yasiel",0,"Low Average"
"100","Pujols","A",119,"LAA","1B",55,120,23,93,0.244,0.305,0.43,0.734,"Albert Pujols","39",2.8e+07,"High Salary",1,"Albert",0,"Low Average"
"101","Ramirez","J",99,"CLE","3B",68,123,23,83,0.255,0.327,0.479,0.806,"Jose Ramirez","26",4150000,"High Salary",1,"Jose",0,"Low Average"
"102","Ramos","W",39,"NYM","C",52,136,14,73,0.288,0.351,0.416,0.768,"Wilson Ramos","31",7250000,"High Salary",1,"Wilson",1,"High Average"
"103","Realmuto","J",67,"PHI","C",92,148,25,83,0.275,0.328,0.493,0.82,"J.T. Realmuto","28",5900000,"High Salary",1,"J.T.",1,"High Average"
"104","Reddick","J",66,"HOU","RF",57,138,14,56,0.275,0.319,0.409,0.728,"Josh Reddick","32",1.3e+07,"High Salary",1,"Josh",1,"High Average"
"105","Rendon","A",5,"WSH","3B",117,174,34,126,0.319,0.412,0.598,1.01,"Anthony Rendon","29",18800000,"High Salary",1,"Anthony",1,"High Average"
"106","Reyes","F",114,"CLE","RF",69,123,37,81,0.249,0.31,0.512,0.822,"Franmil Reyes","23",570500,"Low Salary",0,"Franmil",0,"Low Average"
"107","Reynolds","B",10,"PIT","LF",83,154,16,68,0.314,0.377,0.503,0.88,"Bryan Reynolds","24",555000,"Low Salary",0,"Bryan",1,"High Average"
"108","Rizzo","A",30,"CHC","1B",89,150,27,94,0.293,0.405,0.52,0.924,"Anthony Rizzo","29",11285714,"High Salary",1,"Anthony",1,"High Average"
"109","Robles","V",100,"WSH","CF",86,139,17,65,0.255,0.326,0.419,0.745,"Victor Robles","22",557800,"Low Salary",0,"Victor",0,"Low Average"
"110","Rojas","M",46,"MIA","SS",52,137,5,46,0.284,0.331,0.379,0.71,"Miguel Rojas","30",3155000,"Low Salary",0,"Miguel",1,"High Average"
"111","Rosario","A",40,"NYM","SS",75,177,15,72,0.287,0.323,0.432,0.755,"Amed Rosario","23",575500,"Low Salary",0,"Amed",1,"High Average"
"112","Rosario","E",65,"MIN","LF",91,155,32,109,0.276,0.3,0.5,0.8,"Eddie Rosario","27",4190000,"High Salary",1,"Eddie",1,"High Average"
"113","Sanchez","Y",106,"CWS","2B",59,125,2,43,0.252,0.318,0.321,0.638,"Yolmer Sanchez","27",4625000,"High Salary",1,"Yolmer",0,"Low Average"
"114","Santana","C",52,"CLE","1B",110,161,34,93,0.281,0.397,0.515,0.911,"Carlos Santana","33",20333333,"High Salary",1,"Carlos",1,"High Average"
"115","Santana","D",105,"SEA","LF",63,114,21,69,0.253,0.329,0.441,0.77,"Daniel Santana","28",555000,"Low Salary",0,"Daniel",0,"Low Average"
"116","Santana","D",105,"SEA","LF",63,114,21,69,0.253,0.329,0.441,0.77,"Domingo Santana","26",1950000,"Low Salary",0,"Domingo",0,"Low Average"
"117","Santana","D",47,"TEX","2B",81,134,28,81,0.283,0.324,0.534,0.857,"Daniel Santana","28",555000,"Low Salary",0,"Daniel",1,"High Average"
"118","Santana","D",47,"TEX","2B",81,134,28,81,0.283,0.324,0.534,0.857,"Domingo Santana","26",1950000,"Low Salary",0,"Domingo",1,"High Average"
"119","Schwarber","K",113,"CHC","LF",82,132,38,92,0.25,0.339,0.531,0.871,"Kyle Schwarber","26",3390000,"Low Salary",0,"Kyle",0,"Low Average"
"120","Seager","C",71,"LAD","SS",82,133,19,87,0.272,0.335,0.483,0.817,"Corey Seager","25",4e+06,"High Salary",1,"Corey",0,"Low Average"
"121","Segura","J",55,"PHI","SS",79,161,12,60,0.28,0.323,0.42,0.743,"Jean Segura","29",14950000,"High Salary",1,"Jean",1,"High Average"
"122","Semien","M",42,"OAK","SS",123,187,33,92,0.285,0.369,0.522,0.892,"Marcus Semien","28",5900000,"High Salary",1,"Marcus",1,"High Average"
"123","Smith","M",128,"SEA","CF",70,116,6,37,0.227,0.3,0.335,0.635,"Mallex Smith","26",578400,"Low Salary",0,"Mallex",0,"Low Average"
"124","Soler","J",82,"KC","RF",95,156,48,117,0.265,0.354,0.569,0.922,"Jorge Soler","27",4666667,"High Salary",1,"Jorge",0,"Low Average"
"125","Soto","J",48,"WSH","LF",110,153,34,110,0.282,0.401,0.548,0.949,"Juan Soto","20",578300,"Low Salary",0,"Juan",1,"High Average"
"126","Springer","G",31,"HOU","RF",96,140,39,96,0.292,0.383,0.591,0.974,"George Springer","29",1.2e+07,"High Salary",1,"George",1,"High Average"
"127","Story","T",29,"COL","SS",111,173,35,85,0.294,0.363,0.554,0.917,"Trevor Story","26",5e+06,"High Salary",1,"Trevor",1,"High Average"
"128","Suarez","E",73,"CIN","3B",87,156,49,103,0.271,0.358,0.572,0.93,"Eugenio Suarez","27",7285714,"High Salary",1,"Eugenio",0,"Low Average"
"129","Swanson","D",109,"ATL","SS",77,121,17,65,0.251,0.325,0.422,0.748,"Dansby Swanson","25",585000,"Low Salary",0,"Dansby",0,"Low Average"
"130","Torres","G",60,"NYY","SS",96,152,38,90,0.278,0.337,0.535,0.871,"Gleyber Torres","22",605200,"Low Salary",0,"Gleyber",1,"High Average"
"131","Trout","M",32,"LAA","CF",110,137,45,104,0.291,0.438,0.645,1.083,"Mike Trout","27",17666667,"High Salary",1,"Mike",1,"High Average"
"132","Turner","J",36,"LAD","3B",80,139,27,67,0.29,0.372,0.509,0.881,"Justin Turner","34",1.9e+07,"High Salary",1,"Justin",1,"High Average"
"133","Turner","T",22,"WSH","SS",96,155,19,57,0.298,0.353,0.497,0.85,"Trea Turner","26",3725000,"High Salary",1,"Trea",1,"High Average"
"134","Vazquez","C",64,"BOS","C",66,133,23,72,0.276,0.32,0.477,0.798,"Christian Vazquez","28",2850000,"Low Salary",0,"Christian",1,"High Average"
"135","Villar","J",69,"BAL","2B",111,176,24,73,0.274,0.339,0.453,0.792,"Jonathan Villar","28",4825000,"High Salary",1,"Jonathan",1,"High Average"
"136","Vogelbach","D",134,"SEA","1B",73,96,30,76,0.208,0.341,0.439,0.78,"Dan Vogelbach","26",558600,"Low Salary",0,"Dan",0,"Low Average"
"137","Voit","L",84,"NYY","1B",72,113,21,62,0.263,0.378,0.464,0.842,"Luke Voit","28",573200,"Low Salary",0,"Luke",0,"Low Average"
"138","Votto","J",86,"CIN","1B",79,137,15,47,0.261,0.357,0.411,0.768,"Joey Votto","35",2.5e+07,"High Salary",1,"Joey",0,"Low Average"
"139","Walker","C",94,"ARI","1B",86,137,29,73,0.259,0.348,0.476,0.825,"Christian Walker","28",559800,"Low Salary",0,"Christian",0,"Low Average"
"140","Wong","K",43,"STL","2B",61,136,11,59,0.285,0.361,0.423,0.784,"Kean Wong","24",555000,"Low Salary",0,"Kean",1,"High Average"
"141","Wong","K",43,"STL","2B",61,136,11,59,0.285,0.361,0.423,0.784,"Kolten Wong","28",6500000,"High Salary",1,"Kolten",1,"High Average"
"142","Yelich","C",2,"MIL","RF",100,161,44,97,0.329,0.429,0.671,1.1,"Christian Yelich","27",9750000,"High Salary",1,"Christian",1,"High Average"
